Gene Name;Gene ID;Group;Chr;Start;End;Strand;Degree;Closeness;Betweenness;dN/dS Chimp;dN/dS Macaque;dN/dS Mouse;Tajima's D exons;Tajima's D regulatory;Fay and Wu's H exons;Fay and Wu's H regulatory
PANK4;ENSG00000157881;NDNE;1;2439972;2458039;-1;-;-;-;0,05;0,02;0,04;-1,13;-1,175;-0,00006;-0,00033
NDRG4;ENSG00000103034;NDNE;16;58496750;58547532;1;-;-;-;0,04;0,04;0,05;-0,343;-0,188;-0,00018;-0,00015
TTC32;ENSG00000183891;NDNE;2;20096404;20101747;-1;-;-;-;-;-;-;0,465;0,209;0,00043;0,00029
ORAI2;ENSG00000160991;NDNE;7;102073553;102097268;1;5;0,26;479,64;0;0,01;0,02;-0,868;0,045;-0,00096;-0,00051
MCMBP;ENSG00000197771;NDNE;10;121588972;121652068;-1;4;0,26;3424,41;0;0,03;0,05;-0,208;-0,446;-0,00021;-0,00067
ATXN2L;ENSG00000168488;NDNE;16;28834356;28848558;1;5;0,26;868,73;0,58;0,08;0,1;0,08;0,91;0,00004;0,00002
METTL3;ENSG00000165819;NDNE;14;21966277;21979517;-1;-;-;-;0;0,08;0,04;0,736;1,585;0,00001;0,00018
RPRD1B;ENSG00000101413;NDNE;20;36661948;36720768;1;1;0,21;0;0;0;0,01;-1,276;-0,406;0,00028;-0,00018
AK4;ENSG00000162433;NDNE;1;65613232;65697828;1;-;-;-;0,28;-;0,11;-0,19;-0,112;-0,00077;-0,0007
NAT8L;ENSG00000185818;NDNE;4;2061239;2070816;1;-;-;-;-;0;0,03;-1,282;-1,361;-0,00097;-0,00055
GGT5;ENSG00000099998;NDNE;22;24615622;24641110;-1;-;-;-;-;-;-;-0,149;-0,064;0,00004;-0,00022
GRK7;ENSG00000114124;NDNE;3;141496990;141537332;1;-;-;-;0,14;0,18;-;-0,707;-0,567;0,00043;-0,00018
UCN3;ENSG00000178473;NDNE;10;5406972;5416169;1;-;-;-;0,21;0,27;0,24;0,407;0,968;-0,00066;-0,00063
OGDHL;ENSG00000197444;NDNE;10;50942689;50970425;-1;-;-;-;0,16;0,09;0,04;0,393;0,455;0,00042;-0,00004
ANG;ENSG00000214274;NDNE;14;21152336;21167130;1;3;0,25;101,28;0,22;-;-;-1,317;-0,07;-0,00446;-0,00086
CDKN2AIPNL;ENSG00000237190;NDNE;5;133737778;133747589;-1;-;-;-;-;-;0,03;-;-1,415;-;-0,00008
C12orf76;ENSG00000174456;NDNE;12;110465872;110511491;-1;-;-;-;0,54;0,67;-;-0,515;-1,607;-0,00088;-0,00061
CYP3A4;ENSG00000160868;NDNE;7;99354604;99381888;-1;2;0,25;2,43;3,35;-;-;-1,901;-1,964;-0,00045;-0,0006
ARHGAP19;ENSG00000213390;NDNE;10;98978996;99052413;-1;-;-;-;-;-;-;-0,555;-0,403;-0,00032;-0,00083
USP40;ENSG00000085982;NDNE;2;234384166;234475428;-1;-;-;-;0,28;0,39;0,29;0,946;0,702;-0,00046;-0,00018
C6orf136;ENSG00000204564;NDNE;6;30614816;30620987;1;-;-;-;0,16;0,3;0,31;-1,525;-1,875;0,00009;-0,00011
HP1BP3;ENSG00000127483;NDNE;1;21069154;21113816;-1;1;0,25;0;0;0,09;0,12;-1,394;-0,012;0,00012;0,0002
SASS6;ENSG00000156876;NDNE;1;100549119;100598511;-1;3;0,26;167,19;0,12;0,45;0,14;-0,666;-1,31;-0,00075;-0,0005
HN1;ENSG00000189159;NDNE;17;73131343;73164376;-1;2;0,25;105,79;0,91;0,13;0,4;-1,066;-0,437;-0,00001;-0,00002
ZMYM6NB;ENSG00000243749;NDNE;1;35447136;35450954;-1;-;-;-;0;-;0,48;-1,124;-2,129;-0,00208;-0,00015
OR5K1;ENSG00000232382;NDNE;3;98188324;98189420;1;-;-;-;-;0,31;-;-1,459;0,214;0,00005;0,0003
MOB1A;ENSG00000114978;NDNE;2;74382165;74406025;-1;8;0,27;15213,73;0;0,33;0;-0,337;0,132;-0,0006;-0,00026
GPR27;ENSG00000170837;NDNE;3;71803201;71805647;1;-;-;-;-;-;0,01;-0,916;0,171;0,00009;-0,00004
EI24;ENSG00000149547;NDNE;11;125439112;125454575;1;-;-;-;0,19;0,15;0,03;0,115;-0,302;-0,00004;-0,00008
MAP1S;ENSG00000130479;NDNE;19;17830051;17845325;1;6;0,27;2823,26;0,07;0,08;0,02;0,396;1,296;0,00009;-0,00007
C4orf46;ENSG00000205208;NDNE;4;159587831;159593407;-1;-;-;-;0;0,21;0,23;0,761;-0,999;-0,00031;-0,00039
C2orf81;ENSG00000159239;NDNE;2;74641304;74648718;-1;-;-;-;-;0,43;0,38;-0,667;-0,994;-0,00032;-0,00008
GPRC5C;ENSG00000170412;NDNE;17;72420990;72447792;1;1;0,2;0;0,19;0,12;0,09;-0,98;-1,257;-0,00028;-0,0015
ZNF354C;ENSG00000177932;NDNE;5;178487416;178510538;1;-;-;-;0,59;0,21;0,17;2,462;0,725;0,00026;-0,00024
HSPA1B;ENSG00000204388;NDNE;6;31795512;31798031;1;3;0,25;272,42;-;-;-;-1,019;-1,254;-0,0006;-0,00004
GLYATL1;ENSG00000166840;NDNE;11;58672871;58811000;1;-;-;-;0,25;0,71;-;-0,17;0,269;-;-0,00024
CLEC9A;ENSG00000197992;NDNE;12;10183276;10218565;1;-;-;-;0,45;0,65;0,39;-0,783;0,067;-0,00012;-0,00014
GPR17;ENSG00000144230;NDNE;2;128403439;128410213;1;-;-;-;0,11;0,12;0,03;-0,215;0,628;0,00021;0,00008
PRR19;ENSG00000188368;NDNE;19;42806250;42814973;1;-;-;-;0,97;-;0,27;-1,669;-2,064;0,00002;-0,00013
DOCK7;ENSG00000116641;NDNE;1;62920399;63153969;-1;5;0,26;705,8;0,2;0,05;0,02;0,633;0,394;-0,00021;-0,00007
ADAMTSL2;ENSG00000197859;NDNE;9;136397286;136440641;1;-;-;-;0,09;0,04;0,05;-0,07;0,643;-0,00058;-0,0004
NAIF1;ENSG00000171169;NDNE;9;130823512;130830485;-1;3;0,21;0;0,09;0,04;0,04;-1,239;-0,531;-0,00021;-0,00019
STEAP3;ENSG00000115107;NDNE;2;119981384;120023228;1;2;0,21;22,38;0,13;0,07;0,07;0,033;0,238;-0,00038;-0,00014
GUCA2A;ENSG00000197273;NDNE;1;42628362;42630389;-1;-;-;-;0,58;0,17;0,32;1,826;0,77;-0,00042;0,00008
HIST1H2BA;ENSG00000146047;NDNE;6;25727137;25727573;1;4;0,26;197,65;0;0,02;0,01;1,25;1,083;0,00006;0,00033
CFL2;ENSG00000165410;NDNE;14;35179593;35184029;-1;2;0,25;0;-;0;0,01;0,578;1,767;0,00041;-0,00011
LTF;ENSG00000012223;NDNE;3;46477136;46526724;-1;5;0,24;20207,19;0,53;0,62;0,3;0,662;0,693;-0,00024;-0,00001
ZCCHC6;ENSG00000083223;NDNE;9;88902648;88969369;-1;-;-;-;0,43;0,27;0,19;0,426;1,255;0,00015;0,00017
KCNMB1;ENSG00000145936;NDNE;5;169805168;169816681;-1;2;0,25;8796;0,09;0,15;0,12;-0,283;0,578;-0,00123;-0,00028
METTL15;ENSG00000169519;NDNE;11;28129795;28355054;1;-;-;-;1,41;0,29;0,24;0,111;-0,47;-0,00011;-0,00002
PRDM4;ENSG00000110851;NDNE;12;108126643;108155049;-1;3;0,22;29,55;0,13;0,02;0,08;1,595;1,04;0,00027;0,00031
CAPZA1;ENSG00000116489;NDNE;1;113161795;113214241;1;5;0,31;14095,74;0,27;0,09;-;0,072;0,489;0,00003;0,00006
KIAA2026;ENSG00000183354;NDNE;9;5881596;6007901;-1;2;0,26;205,79;0,62;-;0,31;-1,679;-0,633;0,00002;-0,0003
CD59;ENSG00000085063;NDNE;11;33719807;33757991;-1;5;0,2;26456,09;-;1,36;-;0,397;0,329;0,00035;0,00014
UQCC3;ENSG00000204922;NDNE;11;62437745;62441159;1;-;-;-;-;0,41;0,27;0,785;-0,519;-0,00032;-0,00009
ZFP62;ENSG00000196670;NDNE;5;180274611;180288286;-1;-;-;-;0,32;-;0,13;-0,533;-0,289;-0,00024;-0,00004
PLA2G12B;ENSG00000138308;NDNE;10;74694928;74714536;-1;-;-;-;0;0,09;0,1;-;-1,892;-;0
TVP23C;ENSG00000175106;NDNE;17;15341205;15466909;-1;-;-;-;-;-;-;1,182;0,607;-0,00009;-0,00033
RGS13;ENSG00000127074;NDNE;1;192605275;192629390;1;-;-;-;0;0,38;0,18;-1,225;-0,823;-0,00088;-0,0023
TP53TG3;ENSG00000183632;NDNE;16;32684852;32688053;-1;-;-;-;-;-;-;0,357;0,357;-;-
WHSC1L1;ENSG00000147548;NDNE;8;38132544;38239790;-1;3;0,23;33,5;-;-;-;-0,727;0,007;0,00004;-0,00017
NR4A1;ENSG00000123358;NDNE;12;52416616;52453291;1;29;0,31;34158,13;0,23;0,07;0,06;-1,276;-0,587;-0,0007;-0,00045
ACR;ENSG00000100312;NDNE;22;51176624;51183762;1;1;0,2;0;0,49;0,32;0,3;0,241;0,233;-0,00034;-0,00055
DLEC1;ENSG00000008226;NDNE;3;38080696;38165516;1;-;-;-;0,35;0,42;0,24;-1,268;0,285;-0,00015;-0,00023
ANKRD13D;ENSG00000172932;NDNE;11;67056018;67069956;1;-;-;-;0,11;0,12;0,07;-1,677;-1,877;-0,00012;-0,00019
MEPCE;ENSG00000146834;NDNE;7;100026413;100031741;1;160;0,32;360016,54;0,21;0,15;0,12;0,1;-0,652;-0,00071;-0,00018
DLST;ENSG00000119689;NDNE;14;75348594;75370448;1;17;0,31;25700,38;-;-;-;0,561;1,314;0,00009;0,00013
CPA3;ENSG00000163751;NDNE;3;148583043;148614983;1;-;-;-;0,84;0,31;0,18;-0,299;1,726;-0,00006;0,00015
TRIM58;ENSG00000162722;NDNE;1;248020501;248041507;1;-;-;-;0,58;0,26;0,14;0,472;0,651;0,00055;-0,00025
LOXL4;ENSG00000138131;NDNE;10;100007447;100028007;-1;1;0,22;0;0,12;0,2;0,12;1,152;1,267;0,00034;0,00013
NIT1;ENSG00000158793;NDNE;1;161087876;161095235;1;1;0,26;0;0,84;0,59;0,31;-1,121;-0,291;0,00006;0,00006
ZNF574;ENSG00000105732;NDNE;19;42572629;42585701;1;-;-;-;0,39;0,04;0,06;-1,991;-2,061;0,00003;-0,0001
TSPAN5;ENSG00000168785;NDNE;4;99391518;99579780;-1;-;-;-;0;0;0;-1,499;0,335;-0,00093;-0,00029
UNC5CL;ENSG00000124602;NDNE;6;40994772;41006928;-1;2;0,26;0;0,08;0,27;0,11;-1,481;-0,504;0,00021;-0,0004
P2RX5-TAX1BP3;ENSG00000257950;NDNE;17;3566357;3599488;-1;-;-;-;-;-;-;-1,317;0,249;-0,00054;-0,00059
RBM47;ENSG00000163694;NDNE;4;40425272;40632892;-1;-;-;-;0,03;0;0,03;-0,344;0,349;-0,00007;-0,00023
RPS18;ENSG00000231500;NDNE;6;33239787;33244287;1;2;0,3;1975,05;-;-;0;-1,582;-0,904;-0,0029;-0,00036
DHX34;ENSG00000134815;NDNE;19;47852538;47885961;1;1;0,22;0;0,15;0,09;0,08;-1,156;-0,782;-0,00022;-0,00076
THUMPD3;ENSG00000134077;NDNE;3;9404526;9428475;1;1;0,21;0;0,26;0,18;0,24;0,383;-0,167;0,0003;-0,00014
FNDC7;ENSG00000143107;NDNE;1;109255279;109285365;1;-;-;-;0,52;0,34;0,16;-0,171;0,57;0,00021;0,00002
MMP23B;ENSG00000189409;NDNE;1;1567474;1570639;1;-;-;-;0;0,01;0,05;-;0,56;-;-0,00012
GPRIN1;ENSG00000169258;NDNE;5;176022803;176037134;-1;-;-;-;0,67;0,74;0,51;-1,602;-0,407;0,00005;-0,00004
MYO1H;ENSG00000174527;NDNE;12;109785708;109893328;1;-;-;-;0,23;-;0,08;0,191;0,925;-0,00001;-0,00027
HYPK;ENSG00000242028;NDNE;15;44088340;44095241;1;-;-;-;0;0,06;0;-1,59;-1,717;0,00015;-0,00001
LPHN1;ENSG00000072071;NDNE;19;14260750;14316999;-1;1;0,25;0;0,04;0,07;0,01;-1,694;-0,128;-0,00011;-0,00013
IDO2;ENSG00000188676;NDNE;8;39792133;39873910;1;-;-;-;0,58;0,61;0,22;1,266;1,548;-0,00014;0,00019
S100A9;ENSG00000163220;NDNE;1;153330330;153333503;1;11;0,31;11901,6;0,08;0,67;0,36;-1,496;-0,123;0,00008;-0,00023
NLRP4;ENSG00000160505;NDNE;19;56347944;56393220;1;1;0,24;0;0,59;0,37;-;1,151;0,177;0,00028;-0,00085
CCK;ENSG00000187094;NDNE;3;42299317;42307699;-1;2;1;1;-;0,51;0,17;1,415;1,107;0,00019;0,00008
PRR30;ENSG00000186143;NDNE;2;27359723;27362278;-1;-;-;-;0,74;0,54;0,88;0,03;-0,046;0,00029;-0,00001
ADAMTSL4;ENSG00000143382;NDNE;1;150521884;150533413;1;11;0,26;3563,08;0,24;0,39;0,25;-0,369;-0,025;-0,00028;-0,00014
SYT17;ENSG00000103528;NDNE;16;19179293;19279652;1;4;0,24;1770,63;0,16;0,06;0,03;0,642;0,614;-0,00021;-0,00016
POTEB2;ENSG00000230031;NDNE;15;21040701;21071662;-1;-;-;-;-;-;-;-;-;-;-
TBC1D26;ENSG00000214946;NDNE;17;15635561;15649476;1;-;-;-;-;-;-;1,622;0,807;0;-0,00027
RBAK;ENSG00000146587;NDNE;7;5023349;5112854;1;-;-;-;0,06;0,27;0,15;0,711;1,151;-0,0003;0,00009
AMMECR1L;ENSG00000144233;NDNE;2;128619204;128643496;-1;1;0,26;0;-;0,53;0,04;0,328;0,586;-0,00012;0,00003
ARHGAP33;ENSG00000004777;NDNE;19;36265434;36279724;1;1;0,24;0;0,25;0,11;0,08;1,69;1,265;0,0002;0,00014
SERPINB3;ENSG00000057149;NDNE;18;61322431;61329197;-1;4;0,22;17807,1;0,47;-;-;-0,802;-0,466;-0,00116;-0,00062
ATXN1L;ENSG00000224470;NDNE;16;71879894;71891231;1;4;0,26;9,76;0,09;0,64;0,13;-0,712;0,754;0,00019;0,00028
COX6B1;ENSG00000126267;NDNE;19;36139125;36149763;1;1;0,24;0;0;0,3;0,11;0,935;-0,115;-0,00131;-0,00009
KLF15;ENSG00000163884;NDNE;3;126061478;126076285;-1;1;0,25;0;0,28;0,15;0,1;-0,084;0,692;0,00015;0,00008
POTEM;ENSG00000187537;NDNE;14;19983559;20020272;-1;-;-;-;-;-;-;0,902;-0,591;0,00011;-0,00006
NOSTRIN;ENSG00000163072;NDNE;2;169643049;169722024;1;2;0,25;180,99;0,05;0,53;0,2;0,544;0,522;-0,00038;0,00007
DHX8;ENSG00000067596;NDNE;17;41561233;41621831;1;1;0,21;0;0;0,25;0,01;0,057;0,046;-0,00069;-0,00026
UVSSA;ENSG00000163945;NDNE;4;1341054;1381837;1;-;-;-;0,13;0,18;0,21;0,154;0,738;0,00027;0,00001
CLUAP1;ENSG00000103351;NDNE;16;3550924;3589048;1;2;0,25;8796;0,42;0,15;-;-1,706;-1,635;-0,00159;-0,00114
CNOT4;ENSG00000080802;NDNE;7;135046547;135194875;-1;7;0,25;219,68;0,17;0,38;0,04;-0,019;-0,484;-0,0006;-0,00008
VCPIP1;ENSG00000175073;NDNE;8;67540722;67579452;-1;11;0,25;26727,26;0,06;0,02;0,07;-1,968;-2,008;-0,00033;-0,00056
NAPSA;ENSG00000131400;NDNE;19;50861734;50869087;-1;-;-;-;0,69;0,83;0,32;0,959;1,688;0,00006;0,00004
ZBTB2;ENSG00000181472;NDNE;6;151685252;151712683;-1;4;0,28;531,18;0,13;0,1;0,03;-0,194;-0,705;-0,00062;-0,00037
HIST2H2BF;ENSG00000203814;NDNE;1;149754245;149783928;-1;-;-;-;0,14;0,06;0;0,042;-0,675;0,00022;-0,0002
OR5AU1;ENSG00000169327;NDNE;14;21623026;21624222;-1;-;-;-;0,63;0,27;0,14;0,968;2,014;-0,00246;-0,00044
ZNF19;ENSG00000157429;NDNE;16;71498453;71598992;-1;-;-;-;0,71;0,54;-;0,916;0,271;0,00024;0,00012
HEY1;ENSG00000164683;NDNE;8;80676245;80680098;-1;1;0,25;0;-;0,05;0,05;-0,003;0,628;0,00031;0,00019
HOOK1;ENSG00000134709;NDNE;1;60280458;60342050;1;2;0,23;29,94;0,09;0,16;0,06;-1,09;-1,456;-0,0004;-0,00038
TAGLN3;ENSG00000144834;NDNE;3;111717511;111732734;1;-;-;-;0;0;0,01;1,27;1,577;0,0006;-0,00021
ARTN;ENSG00000117407;NDNE;1;44398992;44402913;1;-;-;-;1,05;0,2;0,19;-0,796;-1,12;-0,00077;-0,00057
STK4;ENSG00000101109;NDNE;20;43595115;43708600;1;19;0,28;29454,42;0,06;0,26;0,03;0,94;1,133;-0,0001;0,00017
TMEM65;ENSG00000164983;NDNE;8;125324231;125384933;-1;-;-;-;0,15;0,21;0,13;-0,601;-0,829;-0,0004;-0,00033
NUTM2D;ENSG00000214562;NDNE;10;89117425;89130452;1;-;-;-;-;-;-;-0,74;1,25;0,00008;0,00009
DGKE;ENSG00000153933;NDNE;17;54911460;54946036;1;5;0,25;708,38;0,11;0,08;0,09;1,384;1,207;0,00002;-0,00002
SERF1B;ENSG00000205572;NDNE;5;69321074;69338940;1;-;-;-;-;-;-;-;1,313;-;-0,00014
AP4S1;ENSG00000100478;NDNE;14;31494312;31562818;1;2;0,3;5042,4;-;0,61;0,14;-0,197;0,367;0,0001;-0,00002
ZNF653;ENSG00000161914;NDNE;19;11594242;11616738;-1;1;0,22;0;0,15;0,08;0,06;-1,697;-1,75;-0,0012;-0,00097
SPACA3;ENSG00000141316;NDNE;17;31297394;31324895;1;-;-;-;-;0,8;0,25;0,342;0,502;-0,00024;-0,00083
TANGO6;ENSG00000103047;NDNE;16;68877507;69119083;1;-;-;-;0,41;-;0,23;-0,679;-0,541;-0,00029;-0,00033
RBBP4;ENSG00000162521;NDNE;1;33116743;33146258;1;64;0,33;56607,23;-;0,02;0;-1,308;-1,975;-0,00013;-0,00093
IRG1;ENSG00000102794;NDNE;13;77522632;77532777;1;-;-;-;1,08;-;0,2;-1,64;-0,767;0,00016;0,00004
NPY1R;ENSG00000164128;NDNE;4;164245113;164265984;-1;2;0,21;434,87;0;0,03;0,04;-1,236;-0,333;-0,00021;-0,00041
SULT1E1;ENSG00000109193;NDNE;4;70676498;70725870;-1;11;0,29;21445,16;0,07;0,47;0,16;0,542;0,184;0,00029;0,00025
ABHD2;ENSG00000140526;NDNE;15;89630690;89745591;1;-;-;-;0,1;0,01;0,01;0,719;0,95;0,00022;-0,00004
DKK4;ENSG00000104371;NDNE;8;42231586;42234750;-1;-;-;-;0,82;0,29;0,17;-1,1;-1,633;0,00029;-0,00052
ZBTB45;ENSG00000119574;NDNE;19;59024897;59050278;-1;1;0,23;0;0,4;0,06;0,09;-0,412;-0,552;0,00019;0,00004
SSNA1;ENSG00000176101;NDNE;9;140083099;140084822;1;1;0,21;0;0,11;0,04;0,01;0,79;0,718;0,00016;-0,00013
ID1;ENSG00000125968;NDNE;20;30193086;30194318;1;11;0,27;4942,24;0;0,05;0,03;-0,793;0,112;-0,00283;-0,00114
KLHDC3;ENSG00000124702;NDNE;6;42981951;42989036;1;1;0,22;0;0,15;0,1;0,04;-1,413;-1,64;0,00007;-0,00029
PALMD;ENSG00000099260;NDNE;1;100111499;100160097;1;-;-;-;0,73;0,24;0,22;-1,43;-0,892;-0,00296;-0,00155
INSL6;ENSG00000120210;NDNE;9;5163863;5185668;-1;-;-;-;-;-;-;-1,26;1,635;0,00005;-0,00047
C11orf68;ENSG00000175573;NDNE;11;65684279;65686588;-1;2;0,22;8796;0,25;0,13;0,1;-1,608;-0,913;-0,00107;-0,00018
ZMAT4;ENSG00000165061;NDNE;8;40388109;40755352;-1;-;-;-;-;0;0,04;-0,062;0,795;-0,00045;-0,00008
LIPJ;ENSG00000204022;NDNE;10;90346510;90366733;1;-;-;-;0,46;0,49;-;-0,905;0,316;0,00002;0,00006
ZNRD1;ENSG00000066379;NDNE;6;30026676;30032686;1;2;0,25;8796;-;0,93;0,16;-0,981;-1,195;-0,00123;-0,00097
NDUFA4;ENSG00000189043;NDNE;7;10971578;10979883;-1;-;-;-;-;-;0,09;-1,192;-0,662;-0,00032;-0,00063
PSG4;ENSG00000243137;NDNE;19;43696854;43711451;-1;-;-;-;0,46;-;-;1,2;1,773;-0,00088;-0,00031
KIAA0101;ENSG00000166803;NDNE;15;64657193;64679886;-1;2;0,25;623,89;0;0,23;0,23;-1,213;-1,308;0,00014;-0,00021
MGAT5B;ENSG00000167889;NDNE;17;74864538;74946475;1;-;-;-;0,2;0,07;0,06;1,251;1;0,00028;-0,00055
VTA1;ENSG00000009844;NDNE;6;142468367;142542085;1;17;0,27;12506,42;0;0,08;0,07;-0,049;1,376;0,00007;0,00009
NME9;ENSG00000181322;NDNE;3;137980279;138048728;-1;-;-;-;0,29;0,3;-;-0,392;-1,234;-0,00009;-0,00003
NKX2-8;ENSG00000136327;NDNE;14;37049784;37051812;-1;-;-;-;0,57;0,14;0,12;0;1,041;0,00022;0,00012
TM9SF2;ENSG00000125304;NDNE;13;100153671;100216260;1;-;-;-;0;0,61;0,07;-1,3;-0,595;0,00005;-0,00002
FAM227B;ENSG00000166262;NDNE;15;49619159;49913128;-1;-;-;-;0,6;0,35;0,39;-0,722;0,279;-0,00003;-0,00028
MAP2K2;ENSG00000126934;NDNE;19;4090319;4124126;-1;6;0,27;1117,14;0;0,18;0,02;-0,409;0,15;-0,00041;0,00008
PLVAP;ENSG00000130300;NDNE;19;17462257;17488159;-1;-;-;-;0,18;0,21;0;-1,585;0,076;-0,00127;-0,00025
IL1A;ENSG00000115008;NDNE;2;113531492;113542167;-1;4;0,25;576,24;-;-;-;1,549;2,719;0,0006;0,00036
GPR3;ENSG00000181773;NDNE;1;27719148;27722318;1;-;-;-;0,21;0,05;0,07;-1,317;-1,408;0,00005;-0,00052
METTL21B;ENSG00000123427;NDNE;12;58165275;58176324;1;-;-;-;0,12;0,16;0,2;0,418;1,048;0,00012;-0,00003
GINS4;ENSG00000147536;NDNE;8;41386725;41402565;1;1;0,19;0;0,17;0,1;0,14;-0,488;0,14;0,00005;-0,00041
VPS18;ENSG00000104142;NDNE;15;41186628;41196173;1;9;0,25;6963,33;0,12;0,02;0,03;-2,062;-1,775;0,00004;-0,00017
TPTE2;ENSG00000132958;NDNE;13;19997017;20110903;-1;-;-;-;1;-;-;0,295;-1,65;-0,00063;-0,001
TET1;ENSG00000138336;NDNE;10;70320413;70454239;1;-;-;-;0,3;0,61;0,46;-0,952;0,861;-0,00005;-0,00053
APBA2;ENSG00000034053;NDNE;15;29129629;29410518;1;9;0,27;6376,8;0,33;0,07;0,05;-1,431;-0,685;-0,00057;-0,00086
NIPAL1;ENSG00000163293;NDNE;4;47916159;48042188;1;-;-;-;0;0,16;0,15;-0,324;0,784;-0,00007;-0,00005
FKBP9;ENSG00000122642;NDNE;7;32997017;33046543;1;-;-;-;0,12;0,03;0,06;0,584;0,745;0,00038;-0,0001
SEC62;ENSG00000008952;NDNE;3;169684423;169716161;1;-;-;-;0;0,09;0,08;-0,961;-0,687;-0,00038;-0,00052
RHD;ENSG00000187010;NDNE;1;25598884;25656936;1;1;0,23;0;1,23;-;-;-0,51;-1,136;-0,00252;-0,00151
LSM6;ENSG00000164167;NDNE;4;147096837;147121152;1;9;0,26;969,15;-;0;0;2,067;1,833;-0,00012;-0,00012
SIGLEC10;ENSG00000142512;NDNE;19;51913275;51921057;-1;-;-;-;0,34;0,56;-;-0,303;0,074;-;-0,0002
GZMM;ENSG00000197540;NDNE;19;544034;549919;1;-;-;-;-;-;0,18;-1,467;0,865;-0,00341;-0,00029
UBE2Q2L;ENSG00000259511;NDNE;15;84841242;84850986;1;-;-;-;-;-;-;-;0,593;-;-
PIP4K2A;ENSG00000150867;NDNE;10;22823778;23003484;-1;-;-;-;0;0;0,01;0,338;0,018;0,00006;-0,00047
TAS2R42;ENSG00000186136;NDNE;12;11338599;11339543;-1;-;-;-;-;1,14;0,68;2,019;2,024;0,00137;0,00056
TPCN1;ENSG00000186815;NDNE;12;113658855;113736390;1;-;-;-;0,08;0,06;0,06;-1,109;-1,547;-0,00053;-0,00059
FAM160A1;ENSG00000164142;NDNE;4;152330368;152584784;1;-;-;-;0,23;0,14;0,17;0,469;1,333;0,00016;-0,00003
HOOK2;ENSG00000095066;NDNE;19;12873817;12983554;-1;16;0,27;2754,68;0,12;0,21;0,07;-1,332;-1,249;0,00013;-0,00073
NOL11;ENSG00000130935;NDNE;17;65713949;65740647;1;-;-;-;0,08;0,45;0,27;0,762;0,384;-0,00094;-0,00066
ADD2;ENSG00000075340;NDNE;2;70834750;70995357;-1;2;0,24;1111,63;0,05;0,01;0,05;0,664;1,1;-0,00048;-0,00032
OPRM1;ENSG00000112038;NDNE;6;154331631;154568001;1;6;0,31;5383,79;-;-;-;-0,487;0,478;-0,00047;-0,00011
USHBP1;ENSG00000130307;NDNE;19;17359985;17393595;-1;34;0,28;48128,77;0,83;0,5;0,3;0,953;0,757;-0,00005;-0,00006
CCDC23;ENSG00000177868;NDNE;1;43272723;43282954;-1;1;1;0;-;0,72;0,06;0,584;0,455;0,00006;0,00016
CDR2;ENSG00000140743;NDNE;16;22357257;22448486;-1;1;0,22;0;1,15;0,11;0,11;-0,969;-1,7;0;-0,00001
THBS4;ENSG00000113296;NDNE;5;79287134;79379110;1;-;-;-;0,43;0,13;0,07;0,905;1,364;0,00023;-0,00001
SLIT3;ENSG00000184347;NDNE;5;168088745;168728133;-1;-;-;-;0,15;0,2;0,04;0,054;0,046;-0,00055;-0,00053
LRRC56;ENSG00000161328;NDNE;11;537527;554916;1;-;-;-;0,51;0,26;0,39;0,008;-0,15;-0,00054;-0,0005
AXDND1,C1orf125;ENSG00000162779;NDNE;1;179334855;179523870;1;-;-;-;0,44;0,44;0,44;1,38;1,765;0,00042;0,00005
ZNF517;ENSG00000197363;NDNE;8;146024261;146036554;1;-;-;-;0,21;0,11;-;-1,121;-0,776;-0,00058;-0,00075
PIWIL3;ENSG00000184571;NDNE;22;25115001;25170687;-1;1;0,2;0;0,18;0,29;-;0,729;1,046;0,00024;0,00005
SEC24A;ENSG00000113615;NDNE;5;133984479;134063513;1;1;0,22;0;0,46;0,54;0,18;-0,803;-1,707;0,00002;-0,00044
SLC27A2;ENSG00000140284;NDNE;15;50474393;50528592;1;-;-;-;0,38;0,26;0,15;-0,456;-0,483;-0,00049;-0,00081
VASN;ENSG00000168140;NDNE;16;4421849;4433529;1;3;0,22;74,88;0,14;0,19;0,1;-1,091;-0,797;-0,00112;-0,0003
CHST1;ENSG00000175264;NDNE;11;45670427;45687172;-1;1;0,25;0;0;0;0,01;0,038;0,749;0,00029;-0,00006
LCE1F;ENSG00000240386;NDNE;1;152748848;152749445;1;-;-;-;-;-;-;0,561;1,765;0,00067;0,00021
CIAO1;ENSG00000144021;NDNE;2;96931870;96939087;1;11;0,27;12113,38;-;0,02;0,05;-1,211;-0,544;-0,00009;0
OCIAD2;ENSG00000145247;NDNE;4;48887036;48908954;-1;-;-;-;-;0,65;0,17;0,71;-0,733;0,00017;-0,00028
SYNM;ENSG00000182253;NDNE;15;99638420;99675798;1;2;0,21;86,27;0,29;0,31;0,29;0,326;1,235;0,0002;0,00014
DEFB104A;ENSG00000176782;NDNE;8;7693993;7698764;1;-;-;-;-;-;-;0,47;0,041;0,00089;-0,00007
IFIT1B;ENSG00000204010;NDNE;10;91137813;91144962;1;-;-;-;0,68;0,62;-;0,382;-0,385;0,0001;-0,00018
GFOD2;ENSG00000141098;NDNE;16;67708434;67753324;-1;-;-;-;0,07;0;0,02;-1,195;-1,476;-0,00024;-0,00022
