Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"DOCK1","Dedicator Of Cytokinesis 1","Protein Coding","51","GC10P126905","2.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOCK1"
"LAD1","Ladinin 1","Protein Coding","44","GC01M201373","2.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAD1"
"GEMIN7","Gem Nuclear Organelle Associated Protein 7","Protein Coding","40","GC19P045075","2.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GEMIN7"
"SLC3A2","Solute Carrier Family 3 Member 2","Protein Coding","49","GC11P062874","2.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC3A2"
"PRMT5","Protein Arginine Methyltransferase 5","Protein Coding","48","GC14M022920","2.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT5"
"AGFG1","ArfGAP With FG Repeats 1","Protein Coding","44","GC02P227473","2.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGFG1"
"LINC01567","Long Intergenic Non-Protein Coding RNA 1567","RNA Gene","15","GC16M024661","2.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01567"
"HGS","Hepatocyte Growth Factor-Regulated Tyrosine Kinase Substrate","Protein Coding","49","GC17P081683","2.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGS"
"GDAP1L1","Ganglioside Induced Differentiation Associated Protein 1 Like 1","Protein Coding","39","GC20P044247","2.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDAP1L1"
"EIF4A1","Eukaryotic Translation Initiation Factor 4A1","Protein Coding","49","GC17P007572","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4A1"
"C2orf40","Chromosome 2 Open Reading Frame 40","Protein Coding","40","GC02P106048","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C2orf40"
"LOC107986171","Uncharacterized LOC107986171","RNA Gene","3","GC03U902898","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC107986171"
"KMT2C","Lysine Methyltransferase 2C","Protein Coding","45","GC07M152134","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2C"
"LHFPL2","LHFPL Tetraspan Subfamily Member 2","Protein Coding","39","GC05M078485","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LHFPL2"
"LTBR","Lymphotoxin Beta Receptor","Protein Coding","48","GC12P006375","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBR"
"DEFA3","Defensin Alpha 3","Protein Coding","43","GC08M007015","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEFA3"
"PDCD6","Programmed Cell Death 6","Protein Coding","44","GC05P000272","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD6"
"KCNK18","Potassium Two Pore Domain Channel Subfamily K Member 18","Protein Coding","43","GC10P117197","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNK18"
"FGF16","Fibroblast Growth Factor 16","Protein Coding","46","GC0XP077447","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF16"
"CSRP1","Cysteine And Glycine Rich Protein 1","Protein Coding","47","GC01M201452","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSRP1"
"MTIF2","Mitochondrial Translational Initiation Factor 2","Protein Coding","44","GC02M055236","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTIF2"
"CD74","CD74 Molecule","Protein Coding","50","GC05M150378","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD74"
"CDNF","Cerebral Dopamine Neurotrophic Factor","Protein Coding","42","GC10M014771","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDNF"
"MIR138-1","MicroRNA 138-1","RNA Gene","18","GC03P044159","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR138-1"
"LILRB3","Leukocyte Immunoglobulin Like Receptor B3","Protein Coding","47","GC19M054216","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LILRB3"
"TRIM25","Tripartite Motif Containing 25","Protein Coding","51","GC17M056887","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM25"
"ATF1","Activating Transcription Factor 1","Protein Coding","54","GC12P050763","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF1"
"S100A5","S100 Calcium Binding Protein A5","Protein Coding","40","GC01M153509","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A5"
"NRN1","Neuritin 1","Protein Coding","45","GC06M005997","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRN1"
"MIR1275","MicroRNA 1275","RNA Gene","17","GC06M038431","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1275"
"MT-TR","Mitochondrially Encoded TRNA Arginine","RNA Gene","13","GCMTP010407","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TR"
"MT-TI","Mitochondrially Encoded TRNA Isoleucine","RNA Gene","13","GCMTP004265","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TI"
"BAIAP2","BAI1 Associated Protein 2","Protein Coding","49","GC17P081035","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAIAP2"
"EPS15","Epidermal Growth Factor Receptor Pathway Substrate 15","Protein Coding","51","GC01M051447","2.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPS15"
"ERCC6L2","ERCC Excision Repair 6 Like 2","Protein Coding","42","GC09P095875","2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC6L2"
"SKAP2","Src Kinase Associated Phosphoprotein 2","Protein Coding","46","GC07M026706","2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKAP2"
"PIM1","Pim-1 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","57","GC06P041922","2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIM1"
"ANP32B","Acidic Nuclear Phosphoprotein 32 Family Member B","Protein Coding","41","GC09P097983","2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANP32B"
"CISD1","CDGSH Iron Sulfur Domain 1","Protein Coding","44","GC10P058269","2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CISD1"
"FSTL1","Follistatin Like 1","Protein Coding","48","GC03M120392","2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSTL1"
"NLGN4Y","Neuroligin 4 Y-Linked","Protein Coding","40","GC0YP014522","2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLGN4Y"
"PRAM1","PML-RARA Regulated Adaptor Molecule 1","Protein Coding","40","GC19M008490","2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRAM1"
"DYNC1I1","Dynein Cytoplasmic 1 Intermediate Chain 1","Protein Coding","46","GC07P095772","1.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNC1I1"
"NLGN2","Neuroligin 2","Protein Coding","46","GC17P007405","1.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLGN2"
"CRABP1","Cellular Retinoic Acid Binding Protein 1","Protein Coding","49","GC15P078340","1.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRABP1"
"SULF2","Sulfatase 2","Protein Coding","47","GC20M047656","1.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULF2"
"NUB1","Negative Regulator Of Ubiquitin Like Proteins 1","Protein Coding","42","GC07P151341","1.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUB1"
"ARPP21","CAMP Regulated Phosphoprotein 21","Protein Coding","40","GC03P035680","1.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARPP21"
"G3BP1","G3BP Stress Granule Assembly Factor 1","Protein Coding","42","GC05P151771","1.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G3BP1"
"ATP1B1","ATPase Na+/K+ Transporting Subunit Beta 1","Protein Coding","53","GC01P169105","1.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1B1"
"CDKN2A-DT","CDKN2A Divergent Transcript","RNA Gene","16","GC09P021967","1.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A-DT"
"CHP2","Calcineurin Like EF-Hand Protein 2","Protein Coding","39","GC16P023811","1.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHP2"
"SH3BP5","SH3 Domain Binding Protein 5","Protein Coding","45","GC03M015231","1.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH3BP5"
"ALDH1A2","Aldehyde Dehydrogenase 1 Family Member A2","Protein Coding","53","GC15M057956","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH1A2"
"SEC23IP","SEC23 Interacting Protein","Protein Coding","44","GC10P119892","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC23IP"
"CPNE4","Copine 4","Protein Coding","42","GC03M131533","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPNE4"
"NEGR1","Neuronal Growth Regulator 1","Protein Coding","45","GC01M071395","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEGR1"
"ANKRD30A","Ankyrin Repeat Domain 30A","Protein Coding","39","GC10P037134","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANKRD30A"
"TBC1D7","TBC1 Domain Family Member 7","Protein Coding","46","GC06M013266","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBC1D7"
"TUBB4B","Tubulin Beta 4B Class IVb","Protein Coding","49","GC09P137241","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB4B"
"KLF12","Kruppel Like Factor 12","Protein Coding","45","GC13M073686","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF12"
"MLLT3","MLLT3, Super Elongation Complex Subunit","Protein Coding","45","GC09M020334","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLLT3"
"GNLY","Granulysin","Protein Coding","45","GC02P085685","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNLY"
"EFHD2","EF-Hand Domain Family Member D2","Protein Coding","40","GC01P015409","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFHD2"
"NFKBIB","NFKB Inhibitor Beta","Protein Coding","47","GC19P038899","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIB"
"ABCA13","ATP Binding Cassette Subfamily A Member 13","Protein Coding","44","GC07P048208","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA13"
"SYMPK","Symplekin","Protein Coding","44","GC19M045815","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYMPK"
"ARL3","ADP Ribosylation Factor Like GTPase 3","Protein Coding","49","GC10M102673","1.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL3"
"ANAPC1","Anaphase Promoting Complex Subunit 1","Protein Coding","43","GC02M111611","1.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANAPC1"
"PMVK","Phosphomevalonate Kinase","Protein Coding","51","GC01M154924","1.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMVK"
"RPS16","Ribosomal Protein S16","Protein Coding","47","GC19M039433","1.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS16"
"UBE2Q1","Ubiquitin Conjugating Enzyme E2 Q1","Protein Coding","42","GC01M154521","1.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2Q1"
"IGSF6","Immunoglobulin Superfamily Member 6","Protein Coding","41","GC16M021652","1.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGSF6"
"SELENOM","Selenoprotein M","Protein Coding","29","GC22M031105","1.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELENOM"
"DYNLT1","Dynein Light Chain Tctex-Type 1","Protein Coding","44","GC06M158636","1.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNLT1"
"DGCR5","DiGeorge Syndrome Critical Region Gene 5","RNA Gene","21","GC22P018995","1.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGCR5"
"NPTX1","Neuronal Pentraxin 1","Protein Coding","43","GC17M080466","1.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPTX1"
"MAGI1","Membrane Associated Guanylate Kinase, WW And PDZ Domain Containing 1","Protein Coding","46","GC03M065318","1.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGI1"
"TP53INP1","Tumor Protein P53 Inducible Nuclear Protein 1","Protein Coding","43","GC08M094925","1.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53INP1"
"FLOT2","Flotillin 2","Protein Coding","47","GC17M029113","1.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLOT2"
"TAF8","TATA-Box Binding Protein Associated Factor 8","Protein Coding","42","GC06P042050","1.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAF8"
"DLL1","Delta Like Canonical Notch Ligand 1","Protein Coding","50","GC06M170282","1.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLL1"
"ZNF395","Zinc Finger Protein 395","Protein Coding","37","GC08M028345","1.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF395"
"KCNN1","Potassium Calcium-Activated Channel Subfamily N Member 1","Protein Coding","43","GC19P020029","1.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNN1"
"GPR17","G Protein-Coupled Receptor 17","Protein Coding","44","GC02P127645","1.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR17"
"ENPEP","Glutamyl Aminopeptidase","Protein Coding","49","GC04P110365","1.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPEP"
"ABCC11","ATP Binding Cassette Subfamily C Member 11","Protein Coding","47","GC16M048249","1.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC11"
"PTPRS","Protein Tyrosine Phosphatase, Receptor Type S","Protein Coding","50","GC19M005157","1.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRS"
"ADAM15","ADAM Metallopeptidase Domain 15","Protein Coding","46","GC01P155023","1.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM15"
"HPCAL1","Hippocalcin Like 1","Protein Coding","47","GC02P010393","1.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPCAL1"
"RAI2","Retinoic Acid Induced 2","Protein Coding","40","GC0XM017818","1.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAI2"
"RASSF4","Ras Association Domain Family Member 4","Protein Coding","44","GC10P044959","1.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASSF4"
"CDH4","Cadherin 4","Protein Coding","46","GC20P061252","1.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH4"
"ABCD2","ATP Binding Cassette Subfamily D Member 2","Protein Coding","47","GC12M039550","1.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD2"
"SPRED2","Sprouty Related EVH1 Domain Containing 2","Protein Coding","47","GC02M065272","1.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRED2"
"CLRN3","Clarin 3","Protein Coding","38","GC10M127877","1.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLRN3"
"TCFL5","Transcription Factor Like 5","Protein Coding","40","GC20M062841","1.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCFL5"
"TSPAN8","Tetraspanin 8","Protein Coding","44","GC12M071125","1.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN8"
"UBE2D3","Ubiquitin Conjugating Enzyme E2 D3","Protein Coding","52","GC04M102794","1.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2D3"
"ADD2","Adducin 2","Protein Coding","47","GC02M070626","1.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADD2"
"IER3","Immediate Early Response 3","Protein Coding","45","GC06M030743","1.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IER3"
"SUPT4H1","SPT4 Homolog, DSIF Elongation Factor Subunit","Protein Coding","44","GC17M058345","1.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUPT4H1"
"BTN3A2","Butyrophilin Subfamily 3 Member A2","Protein Coding","42","GC06P026365","1.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTN3A2"
"BNIP3","BCL2 Interacting Protein 3","Protein Coding","49","GC10M131966","1.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BNIP3"
"GIMAP4","GTPase, IMAP Family Member 4","Protein Coding","43","GC07P150568","1.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIMAP4"
"IFNLR1","Interferon Lambda Receptor 1","Protein Coding","39","GC01M024155","1.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNLR1"
"KIF3A","Kinesin Family Member 3A","Protein Coding","47","GC05M132689","1.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF3A"
"PDE8A","Phosphodiesterase 8A","Protein Coding","48","GC15P084981","1.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE8A"
"GADD45GIP1","GADD45G Interacting Protein 1","Protein Coding","40","GC19M012953","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GADD45GIP1"
"PFKL","Phosphofructokinase, Liver Type","Protein Coding","50","GC21P044300","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFKL"
"NLRP2","NLR Family Pyrin Domain Containing 2","Protein Coding","48","GC19P054953","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP2"
"NTN4","Netrin 4","Protein Coding","45","GC12M095657","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTN4"
"CYLC2","Cylicin 2","Protein Coding","38","GC09P102995","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYLC2"
"RTN1","Reticulon 1","Protein Coding","45","GC14M059595","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTN1"
"TFB2M","Transcription Factor B2, Mitochondrial","Protein Coding","42","GC01M246540","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFB2M"
"SIRT6","Sirtuin 6","Protein Coding","51","GC19M004174","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT6"
"EEF1G","Eukaryotic Translation Elongation Factor 1 Gamma","Protein Coding","47","GC11M062560","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF1G"
"PPRC1","Peroxisome Proliferator-Activated Receptor Gamma, Coactivator-Related 1","Protein Coding","42","GC10P102132","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPRC1"
"POLI","DNA Polymerase Iota","Protein Coding","48","GC18P054274","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLI"
"SUMO2","Small Ubiquitin-Like Modifier 2","Protein Coding","45","GC17M075165","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUMO2"
"GNAZ","G Protein Subunit Alpha Z","Protein Coding","50","GC22P023070","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAZ"
"TNFAIP2","TNF Alpha Induced Protein 2","Protein Coding","45","GC14P103281","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFAIP2"
"PCNX1","Pecanex Homolog 1","Protein Coding","29","GC14P070908","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNX1"
"KCNC2","Potassium Voltage-Gated Channel Subfamily C Member 2","Protein Coding","45","GC12M075040","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNC2"
"MIR95","MicroRNA 95","RNA Gene","17","GC04M008007","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR95"
"VPS29","VPS29, Retromer Complex Component","Protein Coding","47","GC12M110491","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS29"
"RPS12","Ribosomal Protein S12","Protein Coding","46","GC06P132814","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS12"
"PTMS","Parathymosin","Protein Coding","41","GC12P006765","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTMS"
"MCM7","Minichromosome Maintenance Complex Component 7","Protein Coding","51","GC07M100092","1.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM7"
"USP6NL","USP6 N-Terminal Like","Protein Coding","44","GC10M011453","1.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP6NL"
"TNMD","Tenomodulin","Protein Coding","39","GC0XP100584","1.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNMD"
"SMURF1","SMAD Specific E3 Ubiquitin Protein Ligase 1","Protein Coding","52","GC07M099027","1.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMURF1"
"ATXN7L1","Ataxin 7 Like 1","Protein Coding","38","GC07M105604","1.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN7L1"
"PRR12","Proline Rich 12","Protein Coding","37","GC19P049591","1.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRR12"
"UTP11","UTP11, Small Subunit Processome Component","Protein Coding","31","GC01P038012","1.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UTP11"
"SLC2A12","Solute Carrier Family 2 Member 12","Protein Coding","45","GC06M133933","1.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A12"
"PRDX4","Peroxiredoxin 4","Protein Coding","49","GC0XP023592","1.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX4"
"SNX1","Sorting Nexin 1","Protein Coding","45","GC15P064094","1.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX1"
"C14orf132","Chromosome 14 Open Reading Frame 132","Protein Coding","27","GC14P096040","1.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C14orf132"
"MAP3K2","Mitogen-Activated Protein Kinase Kinase Kinase 2","Protein Coding","51","GC02M127298","1.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K2"
"LUZP2","Leucine Zipper Protein 2","Protein Coding","38","GC11P024518","1.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LUZP2"
"GSTZ1","Glutathione S-Transferase Zeta 1","Protein Coding","47","GC14P077320","1.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTZ1"
"MCM5","Minichromosome Maintenance Complex Component 5","Protein Coding","51","GC22P035400","1.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM5"
"MIR219A1","MicroRNA 219a-1","RNA Gene","19","GC06P033207","1.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR219A1"
"PCDH8","Protocadherin 8","Protein Coding","43","GC13M052842","1.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDH8"
"ZNF230","Zinc Finger Protein 230","Protein Coding","39","GC19P044002","1.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF230"
"RING1","Ring Finger Protein 1","Protein Coding","47","GC06P033208","1.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RING1"
"PARK11","Parkinson Disease 11 (Autosomal Recessive, Early Onset)","Genetic Locus","5","GC00U922806","1.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARK11"
"HLA-DRB9","Major Histocompatibility Complex, Class II, DR Beta 9 (Pseudogene)","Pseudogene","14","GC06M032428","1.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB9"
"ENTPD7","Ectonucleoside Triphosphate Diphosphohydrolase 7","Protein Coding","42","GC10P099659","1.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENTPD7"
"LINGO2","Leucine Rich Repeat And Ig Domain Containing 2","Protein Coding","42","GC09M027940","1.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINGO2"
"PPIF","Peptidylprolyl Isomerase F","Protein Coding","49","GC10P081513","1.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIF"
"WARS2","Tryptophanyl TRNA Synthetase 2, Mitochondrial","Protein Coding","50","GC01M119031","1.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WARS2"
"TNKS2","Tankyrase 2","Protein Coding","50","GC10P091798","1.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNKS2"
"ST13","ST13, Hsp70 Interacting Protein","Protein Coding","44","GC22M042326","1.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ST13"
"USP9Y","Ubiquitin Specific Peptidase 9 Y-Linked","Protein Coding","45","GC0YP012701","1.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP9Y"
"RPL36","Ribosomal Protein L36","Protein Coding","45","GC19P005674","1.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL36"
"TSHZ2","Teashirt Zinc Finger Homeobox 2","Protein Coding","42","GC20P052972","1.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSHZ2"
"ARRB1","Arrestin Beta 1","Protein Coding","50","GC11M075261","1.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARRB1"
"EHF","ETS Homologous Factor","Protein Coding","45","GC11P034599","1.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EHF"
"ANXA7","Annexin A7","Protein Coding","49","GC10M073375","1.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA7"
"BASP1","Brain Abundant Membrane Attached Signal Protein 1","Protein Coding","43","GC05P017065","1.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BASP1"
"CSNK1E","Casein Kinase 1 Epsilon","Protein Coding","53","GC22M042362","1.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK1E"
"RNF32","Ring Finger Protein 32","Protein Coding","39","GC07P156640","1.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF32"
"TRPM3","Transient Receptor Potential Cation Channel Subfamily M Member 3","Protein Coding","46","GC09M070529","1.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPM3"
"DCUN1D5","Defective In Cullin Neddylation 1 Domain Containing 5","Protein Coding","37","GC11M103051","1.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCUN1D5"
"ZC3H14","Zinc Finger CCCH-Type Containing 14","Protein Coding","45","GC14P088562","1.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZC3H14"
"LRG1","Leucine Rich Alpha-2-Glycoprotein 1","Protein Coding","45","GC19M004538","1.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRG1"
"CAMKMT","Calmodulin-Lysine N-Methyltransferase","Protein Coding","42","GC02P044361","1.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMKMT"
"TPP2","Tripeptidyl Peptidase 2","Protein Coding","46","GC13P102596","1.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPP2"
"RPL3L","Ribosomal Protein L3 Like","Protein Coding","45","GC16M001943","1.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL3L"
"NMB","Neuromedin B","Protein Coding","48","GC15M084655","1.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMB"
"UTP25","UTP25, Small Subunit Processor Component","Protein Coding","27","GC01P209828","1.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UTP25"
"EIF3A","Eukaryotic Translation Initiation Factor 3 Subunit A","Protein Coding","46","GC10M119034","1.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3A"
"PIK3AP1","Phosphoinositide-3-Kinase Adaptor Protein 1","Protein Coding","46","GC10M096593","1.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3AP1"
"TDRD10","Tudor Domain Containing 10","Protein Coding","36","GC01P154474","1.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TDRD10"
